GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MusicTonic,com.example.musictonic.jwt,JwtTokenFilter,29,6,4,0,10,3,3,1,1,1
MusicTonic,com.example.musictonic.jwt,JwtController,12,3,0,0,2,1,2,1,2,1
MusicTonic,com.example.musictonic.jwt,MyUserDetails,35,3,2,0,12,1,2,1,1,1
MusicTonic,com.example.musictonic.jwt,JwtService,57,3,2,0,11,1,3,1,2,1
MusicTonic,com.example.musictonic.jwt,JwtTokenProvider,95,14,4,0,21,4,7,2,5,2
MusicTonic,com.example.musictonic.jwt,ClientRole,18,0,0,0,3,0,2,0,2,0
MusicTonic,com.example.musictonic.jwt,JwtTokenFilterConfigurer,0,18,0,0,0,6,0,2,0,2
MusicTonic,com.example.musictonic.jwt,WebSecurityConfig,0,70,0,0,0,13,0,4,0,4
MusicTonic,com.example.musictonic.utils,PopularSongsReturn,11,15,0,0,6,6,3,3,3,3
MusicTonic,com.example.musictonic.utils,UserExportReturn,23,21,0,0,9,8,5,4,5,4
MusicTonic,com.example.musictonic.utils,AnalyticsInfoBasic,15,21,0,0,8,8,4,4,4,4
MusicTonic,com.example.musictonic.utils,PlaySongReturn,11,15,0,0,6,6,3,3,3,3
MusicTonic,com.example.musictonic,MusicTonicApplication,5,3,0,0,2,1,1,1,1,1
MusicTonic,com.example.musictonic.services,Client2Service,40,66,6,6,8,12,4,5,1,2
MusicTonic,com.example.musictonic.services,Client3Service,1,130,3,11,1,28,3,6,0,2
MusicTonic,com.example.musictonic.services,Client1Service,172,476,30,30,45,105,24,15,0,9
MusicTonic,config,SecurityConfig,30,0,0,0,9,0,5,0,5,0
MusicTonic,com.example.musictonic.model,ClientLogin,26,0,0,0,12,0,6,0,6,0
MusicTonic,com.example.musictonic.model,UserToGroupMember,41,3,0,0,15,2,8,1,8,1
MusicTonic,com.example.musictonic.model,ClientUser,23,30,0,0,8,13,5,5,5,5
MusicTonic,com.example.musictonic.model,AnalyticsSong,33,12,0,0,14,6,7,2,7,2
MusicTonic,com.example.musictonic.model,PlaylistToSubscriber,12,3,0,0,5,2,1,1,1,1
MusicTonic,com.example.musictonic.model,Song,34,64,0,0,11,25,6,10,6,10
MusicTonic,com.example.musictonic.model,AnalyticsPlaylist,12,12,0,0,5,6,1,2,1,2
MusicTonic,com.example.musictonic.model,UserType,0,27,0,0,0,2,0,1,0,1
MusicTonic,com.example.musictonic.model,ClientPlaylist,23,30,0,0,8,13,5,5,5,5
MusicTonic,com.example.musictonic.model,PlaylistToSongs,41,12,0,0,15,6,8,2,8,2
MusicTonic,com.example.musictonic.model,ClientSong,23,21,0,0,8,9,5,4,5,4
MusicTonic,com.example.musictonic.model,Group,53,3,0,0,19,2,10,1,10,1
MusicTonic,com.example.musictonic.model,User,36,51,0,0,13,20,7,8,7,8
MusicTonic,com.example.musictonic.model,ClientGroup,41,3,0,0,15,2,8,1,8,1
MusicTonic,com.example.musictonic.model,AnalyticsGroup,12,3,0,0,5,2,1,1,1,1
MusicTonic,com.example.musictonic.model,Analytics,35,51,0,0,10,22,7,9,7,9
MusicTonic,com.example.musictonic.model,Playlist,24,42,0,0,9,17,5,7,5,7
MusicTonic,com.example.musictonic.model,Client,0,12,0,0,0,6,0,3,0,3
MusicTonic,com.example.musictonic.model,AnalyticsUser,38,15,0,0,14,7,7,3,7,3
MusicTonic,com.example.musictonic.controller,Client1Controller,111,52,0,0,32,10,3,3,3,3
MusicTonic,com.example.musictonic.controller,Client2Controller,29,13,0,0,8,3,1,2,1,2
MusicTonic,com.example.musictonic.controller,Client3Controller,33,19,2,0,9,4,2,2,1,2
MusicTonic,com.example.musictonic.controller,BaseController,2,3,0,0,1,1,1,1,1,1
